Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
delete-1000/65536/RBT,5.990371087612123e-4,5.892438595257385e-4,6.118549150355362e-4,3.7203484192292044e-5,3.0374387771775692e-5,4.7895985173139466e-5
delete-1000/131072/RBT,9.5107319259396e-4,9.308956882263919e-4,9.789100283265765e-4,7.820211731443309e-5,6.255090774282118e-5,1.0532441246805611e-4
delete-1000/262144/RBT,1.964357336837851e-3,1.9215479337290678e-3,2.0197157081476504e-3,1.6069248545504879e-4,1.3609388097668792e-4,1.9032523718823114e-4
delete-1000/524288/RBT,4.19163782239631e-3,4.129624149263343e-3,4.277304633758881e-3,2.435428931187273e-4,1.838557356759596e-4,3.293810713098692e-4
delete-1000/1048576/RBT,8.259831130032681e-3,8.209536915567157e-3,8.346614415984296e-3,1.7852821874461493e-4,1.2961441511095915e-4,2.571829230338122e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/1024/BST,1.2296900429915105e-4,1.217489894832936e-4,1.2455897489599375e-4,4.451694655954197e-6,3.4601372706617246e-6,5.5686604007243776e-6
insert/1024/RBT,1.0356795165586806e-4,9.970043925294519e-5,1.0753509838074888e-4,1.4289131653700904e-5,1.2612663465082534e-5,1.5790526179706695e-5
insert/2048/BST,2.928448214367101e-4,2.9111936583771993e-4,2.9588368075836985e-4,7.57447320237053e-6,5.294169806787646e-6,1.2503532752283292e-5
insert/2048/RBT,2.7569653065220943e-4,2.740455978983659e-4,2.7817704582468785e-4,6.747979051732875e-6,5.3090948764429145e-6,9.04832868110685e-6
insert/4096/BST,6.683732339664588e-4,6.639525227493861e-4,6.761526049889876e-4,1.853048112161036e-5,1.2074522284071397e-5,3.1543413925214904e-5
insert/4096/RBT,6.782884944590792e-4,6.741504028168907e-4,6.858318007290573e-4,1.768578265939199e-5,1.1664152582436263e-5,2.809382467966375e-5
insert/8192/BST,2.272050583096491e-3,2.1847994439068443e-3,2.4283776622985136e-3,3.7348151758637453e-4,2.5492507866969866e-4,6.212097368308424e-4
insert/8192/RBT,1.8729368585189182e-3,1.8438465932824992e-3,1.910263718405613e-3,1.1473319544564063e-4,9.496656937363988e-5,1.4727625529506558e-4
insert/16384/BST,6.143726435086388e-3,6.0835693434681485e-3,6.220225258649097e-3,2.0543913425507052e-4,1.4567186471487142e-4,2.8283973665034024e-4
insert/16384/RBT,4.471037894299273e-3,4.416648367608442e-3,4.5538998236858055e-3,2.0659244464498296e-4,1.5324092402633048e-4,2.735546882157534e-4
insert/32768/BST,1.8250427091654954e-2,1.7819267001245236e-2,1.89401085285596e-2,1.2987787458961315e-3,8.824584876064527e-4,1.775097003512286e-3
insert/32768/RBT,1.1032285611195935e-2,1.0916908546494072e-2,1.1345999679319116e-2,4.6002491323314493e-4,1.7526085908205392e-4,8.388729567567669e-4
insert/65536/BST,4.8812005866051014e-2,4.761320562648997e-2,5.0588710214534933e-2,2.559095719173605e-3,1.7069409496783153e-3,3.7598148280298988e-3
insert/65536/RBT,3.148156211623875e-2,3.078217876715791e-2,3.275657789390612e-2,2.0722727933966314e-3,1.0902756167010654e-3,2.8179840321729604e-3
insert/131072/BST,0.1352717735099889,0.13167798194696106,0.1405388097545559,6.680210312347721e-3,2.2413031848114388e-3,8.700525872927481e-3
insert/131072/RBT,8.944484262246757e-2,8.78496831658736e-2,9.224860271815458e-2,3.59049523682617e-3,1.7011837244664363e-3,5.136415671986883e-3
insert/262144/BST,0.3716637624177868,0.3637664389971178,0.3788046998403539,8.348212538979136e-3,7.277043229268572e-3,9.41598649316033e-3
insert/262144/RBT,0.27705378135918485,0.2627017820690526,0.2985778553033015,2.374139571596736e-2,1.220898307977489e-2,3.275022430850909e-2
insert/524288/BST,0.933909251834848,0.9318808009993518,0.9359377026703442,2.557055585644678e-3,1.2457983248168603e-3,3.1556089324770845e-3
insert/524288/RBT,0.7407345510425026,0.7328280087604071,0.7493789829895832,1.0375410451117919e-2,4.505139993852936e-3,1.305728968333223e-2
insert/1048576/BST,2.227202289770503,2.163677488337271,2.2544220381860214,4.5677760999535674e-2,1.7995935333755594e-2,6.28613162998941e-2
insert/1048576/RBT,2.0528431433898127,1.9174841286876472,2.16589236643631,0.16308803737169453,0.10359653686464299,0.1912247505774815
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/1024/RBT,1.0148236774031815e-4,9.976073675117382e-5,1.046056147766752e-4,7.784718608242841e-6,5.330442319213263e-6,1.21737422182647e-5
insert/2048/RBT,3.2970162864831673e-4,3.264007591043536e-4,3.337914017923048e-4,1.2313741378820142e-5,9.640329993709232e-6,1.7268686480971306e-5
insert/4096/RBT,7.967580891853795e-4,7.902930579188523e-4,8.051631483823525e-4,2.5092990929683445e-5,1.865899406435559e-5,3.183943113269939e-5
insert/8192/RBT,2.1381980462550345e-3,2.095400750668359e-3,2.1843425152996785e-3,1.4209055156653104e-4,1.1716505741094024e-4,1.7784840108694123e-4
insert/16384/RBT,5.329711039729801e-3,5.222637870943935e-3,5.482501655948614e-3,3.8055395967803637e-4,2.8856018150752764e-4,4.8450025695595647e-4
insert/32768/RBT,1.3339478494743475e-2,1.2943026802963154e-2,1.4008963082578001e-2,1.3015856997266092e-3,8.742774746310486e-4,1.9795562914959155e-3
insert/65536/RBT,3.814683540045418e-2,3.632951779112258e-2,4.057126581685864e-2,4.240013794687226e-3,2.8378861309983033e-3,6.5127943683703695e-3
insert/131072/RBT,0.11897758941289621,0.11381065219830773,0.12644351085206532,9.825432685591079e-3,7.169999065329915e-3,1.3009452902030575e-2
insert/262144/RBT,0.3259699419261112,0.2991496185403472,0.3424401888918752,2.7727818539671996e-2,1.24474274824492e-2,3.913625621770425e-2
insert/524288/RBT,0.9159994745544585,0.8859436513666878,0.938250791237806,3.401644194294293e-2,1.9752364737436988e-2,4.797044325715156e-2
insert/1048576/RBT,2.348269974866222,2.281578323476424,2.4590134056221964,0.10482446313497386,2.7808268515703505e-2,0.13384344932785247
contains/1024/RBT,2.983767464990535e-5,2.9063332942282606e-5,3.088178594592196e-5,3.004442286546156e-6,2.4433195522325734e-6,3.781641329200697e-6
contains/2048/RBT,6.926911878181166e-5,6.674323705088239e-5,7.328986423795797e-5,1.0154511638505044e-5,8.522261232467328e-6,1.219804947073479e-5
contains/4096/RBT,2.1961436721493915e-4,2.1729818663522338e-4,2.2222815937893452e-4,8.484947680527086e-6,7.229894634721792e-6,1.0466977397367039e-5
contains/8192/RBT,4.8748274549309913e-4,4.841657719331365e-4,4.917819230757206e-4,1.2816704674484052e-5,1.0987059389285265e-5,1.495928875408353e-5
contains/16384/RBT,1.1542788396922386e-3,1.145452504385954e-3,1.1676593620257134e-3,3.442882390088709e-5,2.4790439599676754e-5,5.538129460159429e-5
contains/32768/RBT,2.799986789556268e-3,2.7685969410376847e-3,2.8369182487166817e-3,1.134722910484575e-4,9.459636936452924e-5,1.4895327543504829e-4
contains/65536/RBT,7.020548803598326e-3,6.76760541992636e-3,7.4086225104410975e-3,9.587422368621245e-4,7.297684475217417e-4,1.3221846997549316e-3
contains/131072/RBT,2.006415335888518e-2,1.8921623101098867e-2,2.1461724665338085e-2,3.239562909042286e-3,2.5871359978517517e-3,4.14759673305701e-3
contains/262144/RBT,5.335822005172916e-2,4.9379725717007376e-2,5.812081228643178e-2,8.005165883948591e-3,6.652310351124084e-3,1.05623981999416e-2
contains/524288/RBT,0.14673477435903465,0.14055374148349298,0.16036749153744848,1.2745945698881714e-2,3.8895307848436974e-3,1.886027144993764e-2
contains/1048576/RBT,0.38374514972868684,0.35279875991303317,0.4134008126275148,3.562194158865411e-2,2.3482400189328203e-2,4.2511312421214156e-2
